state,geopolitical_zone,model_id,model_name,opportunity_value,investment_range,roi,impact,rank,top_crops,top_stages
Benue,North Central,BM-02,Aggregation & Quality Control Hub,82662093.0,"N1,785,000 - N4,020,000",20-30% annually,20-30% reduction in storage and market losses,1,"Rice, Maize, Vegetables","Storage, Transportation, Processing"
Benue,North Central,BM-05,Storage Facility Management,73913215.0,"N1,500,000 - N5,000,000",20-35% annually,30-40% reduction in storage losses,2,"Rice, Maize, Vegetables","Storage, Transportation, Processing"
Benue,North Central,BM-01,Mobile Threshing/Shelling Service,72476734.0,"N955,000 - N1,625,000",15-30% annually,15-20% reduction in processing losses,3,"Rice, Maize, Vegetables","Storage, Transportation, Processing"
Kogi,North Central,BM-01,Mobile Threshing/Shelling Service,66865259.0,"N955,000 - N1,625,000",15-30% annually,15-20% reduction in processing losses,1,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Kogi,North Central,BM-02,Aggregation & Quality Control Hub,66758156.0,"N1,785,000 - N4,020,000",20-30% annually,20-30% reduction in storage and market losses,2,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Kogi,North Central,BM-05,Storage Facility Management,57703477.0,"N1,500,000 - N5,000,000",20-35% annually,30-40% reduction in storage losses,3,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Kwara,North Central,BM-02,Aggregation & Quality Control Hub,65856779.0,"N1,785,000 - N4,020,000",20-30% annually,20-30% reduction in storage and market losses,1,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Kwara,North Central,BM-01,Mobile Threshing/Shelling Service,64811873.0,"N955,000 - N1,625,000",15-30% annually,15-20% reduction in processing losses,2,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Kwara,North Central,BM-05,Storage Facility Management,58544589.0,"N1,500,000 - N5,000,000",20-35% annually,30-40% reduction in storage losses,3,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Nasarawa,North Central,BM-01,Mobile Threshing/Shelling Service,88220225.0,"N955,000 - N1,625,000",15-30% annually,15-20% reduction in processing losses,1,"Rice, Vegetables, Maize","Storage, Processing, Transportation"
Nasarawa,North Central,BM-02,Aggregation & Quality Control Hub,87407397.0,"N1,785,000 - N4,020,000",20-30% annually,20-30% reduction in storage and market losses,2,"Rice, Vegetables, Maize","Storage, Processing, Transportation"
Nasarawa,North Central,BM-05,Storage Facility Management,75932923.0,"N1,500,000 - N5,000,000",20-35% annually,30-40% reduction in storage losses,3,"Rice, Vegetables, Maize","Storage, Processing, Transportation"
Niger,North Central,BM-01,Mobile Threshing/Shelling Service,71616875.0,"N955,000 - N1,625,000",15-30% annually,15-20% reduction in processing losses,1,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Niger,North Central,BM-02,Aggregation & Quality Control Hub,64032547.0,"N1,785,000 - N4,020,000",20-30% annually,20-30% reduction in storage and market losses,2,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Niger,North Central,BM-05,Storage Facility Management,55173709.0,"N1,500,000 - N5,000,000",20-35% annually,30-40% reduction in storage losses,3,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Plateau,North Central,BM-02,Aggregation & Quality Control Hub,89082443.0,"N1,785,000 - N4,020,000",20-30% annually,20-30% reduction in storage and market losses,1,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Plateau,North Central,BM-01,Mobile Threshing/Shelling Service,83439095.0,"N955,000 - N1,625,000",15-30% annually,15-20% reduction in processing losses,2,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
Plateau,North Central,BM-05,Storage Facility Management,79368282.0,"N1,500,000 - N5,000,000",20-35% annually,30-40% reduction in storage losses,3,"Rice, Maize, Vegetables","Storage, Processing, Transportation"
