State,crop_type,loss_percentage
Abia,Zone,0.0
Abuja Federal Capital Territory,Zone,0.0
Adamawa,Zone,0.0
Akwa Ibom,Zone,0.0
Anambra,Zone,0.0
Bauchi,Zone,0.0
Bayelsa,Zone,0.0
Benue,Zone,0.0
Borno,Zone,0.0
Cross River,Zone,0.0
Delta,Zone,0.0
Ebonyi,Zone,0.0
Edo,Zone,0.0
Ekiti,Zone,0.0
Enugu,Zone,0.0
Gombe,Zone,0.0
Imo,Zone,0.0
Jigawa,Zone,0.0
Kaduna,Zone,0.0
Kano,Zone,0.0
Katsina,Zone,0.0
Kebbi,Zone,0.0
Kogi,Zone,0.0
Kwara,Zone,0.0
Lagos,Zone,0.0
Nasarawa,Zone,0.0
Niger,Zone,0.0
Ogun,Zone,0.0
Ondo,Zone,0.0
Osun,Zone,0.0
Oyo,Zone,0.0
Plateau,Zone,0.0
Rivers,Zone,0.0
Sokoto,Zone,0.0
Taraba,Zone,0.0
Yobe,Zone,0.0
Zamfara,Zone,0.0
Abia,Maize_Production,96620.0
Abuja Federal Capital Territory,Maize_Production,454420.0
Adamawa,Maize_Production,442390.0
Akwa Ibom,Maize_Production,92040.0
Anambra,Maize_Production,109500.0
Bauchi,Maize_Production,581010.0
Bayelsa,Maize_Production,87210.0
Benue,Maize_Production,386330.0
Borno,Maize_Production,626650.0
Cross River,Maize_Production,112770.0
Delta,Maize_Production,163290.0
Ebonyi,Maize_Production,167280.0
Edo,Maize_Production,159700.0
Ekiti,Maize_Production,299460.0
Enugu,Maize_Production,182790.0
Gombe,Maize_Production,648790.0
Imo,Maize_Production,134970.0
Jigawa,Maize_Production,332440.0
Kaduna,Maize_Production,977030.0
Kano,Maize_Production,357060.0
Katsina,Maize_Production,362360.0
Kebbi,Maize_Production,335680.0
Kogi,Maize_Production,430870.0
Kwara,Maize_Production,335490.0
Lagos,Maize_Production,261510.0
Nasarawa,Maize_Production,311950.0
Niger,Maize_Production,700610.0
Ogun,Maize_Production,286240.0
Ondo,Maize_Production,396340.0
Osun,Maize_Production,381930.0
Oyo,Maize_Production,315820.0
Plateau,Maize_Production,656480.0
Rivers,Maize_Production,135860.0
Sokoto,Maize_Production,260990.0
Taraba,Maize_Production,605800.0
Yobe,Maize_Production,302700.0
Zamfara,Maize_Production,252070.0
Abia,Maize_LossRate,27.0
Abuja Federal Capital Territory,Maize_LossRate,31.5
Adamawa,Maize_LossRate,37.5
Akwa Ibom,Maize_LossRate,33.0
Anambra,Maize_LossRate,27.0
Bauchi,Maize_LossRate,37.5
Bayelsa,Maize_LossRate,33.0
Benue,Maize_LossRate,31.5
Borno,Maize_LossRate,37.5
Cross River,Maize_LossRate,33.0
Delta,Maize_LossRate,33.0
Ebonyi,Maize_LossRate,27.0
Edo,Maize_LossRate,33.0
Ekiti,Maize_LossRate,25.5
Enugu,Maize_LossRate,27.0
Gombe,Maize_LossRate,37.5
Imo,Maize_LossRate,27.0
Jigawa,Maize_LossRate,34.5
Kaduna,Maize_LossRate,34.5
Kano,Maize_LossRate,34.5
Katsina,Maize_LossRate,34.5
Kebbi,Maize_LossRate,34.5
Kogi,Maize_LossRate,31.5
Kwara,Maize_LossRate,31.5
Lagos,Maize_LossRate,25.5
Nasarawa,Maize_LossRate,31.5
Niger,Maize_LossRate,31.5
Ogun,Maize_LossRate,25.5
Ondo,Maize_LossRate,25.5
Osun,Maize_LossRate,25.5
Oyo,Maize_LossRate,25.5
Plateau,Maize_LossRate,31.5
Rivers,Maize_LossRate,33.0
Sokoto,Maize_LossRate,34.5
Taraba,Maize_LossRate,37.5
Yobe,Maize_LossRate,37.5
Zamfara,Maize_LossRate,34.5
Abia,Maize_Loss,26087.4
Abuja Federal Capital Territory,Maize_Loss,143142.3
Adamawa,Maize_Loss,165896.25
Akwa Ibom,Maize_Loss,30373.2
Anambra,Maize_Loss,29565.0
Bauchi,Maize_Loss,217878.75
Bayelsa,Maize_Loss,28779.3
Benue,Maize_Loss,121693.95
Borno,Maize_Loss,234993.75
Cross River,Maize_Loss,37214.1
Delta,Maize_Loss,53885.7
Ebonyi,Maize_Loss,45165.6
Edo,Maize_Loss,52701.0
Ekiti,Maize_Loss,76362.3
Enugu,Maize_Loss,49353.3
Gombe,Maize_Loss,243296.25
Imo,Maize_Loss,36441.9
Jigawa,Maize_Loss,114691.8
Kaduna,Maize_Loss,337075.35
Kano,Maize_Loss,123185.7
Katsina,Maize_Loss,125014.2
Kebbi,Maize_Loss,115809.6
Kogi,Maize_Loss,135724.05
Kwara,Maize_Loss,105679.35
Lagos,Maize_Loss,66685.05
Nasarawa,Maize_Loss,98264.25
Niger,Maize_Loss,220692.15
Ogun,Maize_Loss,72991.2
Ondo,Maize_Loss,101066.7
Osun,Maize_Loss,97392.15
Oyo,Maize_Loss,80534.1
Plateau,Maize_Loss,206791.2
Rivers,Maize_Loss,44833.8
Sokoto,Maize_Loss,90041.55
Taraba,Maize_Loss,227175.0
Yobe,Maize_Loss,113512.5
Zamfara,Maize_Loss,86964.15
Abia,Rice_Production,58290.0
Abuja Federal Capital Territory,Rice_Production,415000.0
Adamawa,Rice_Production,275790.0
Akwa Ibom,Rice_Production,24020.0
Anambra,Rice_Production,99310.0
Bauchi,Rice_Production,250080.0
Bayelsa,Rice_Production,94720.0
Benue,Rice_Production,517650.0
Borno,Rice_Production,189510.0
Cross River,Rice_Production,163530.0
Delta,Rice_Production,50520.0
Ebonyi,Rice_Production,145730.0
Edo,Rice_Production,137890.0
Ekiti,Rice_Production,140470.0
Enugu,Rice_Production,94250.0
Gombe,Rice_Production,215080.0
Imo,Rice_Production,85490.0
Jigawa,Rice_Production,215310.0
Kaduna,Rice_Production,360370.0
Kano,Rice_Production,438720.0
Katsina,Rice_Production,220260.0
Kebbi,Rice_Production,348690.0
Kogi,Rice_Production,534650.0
Kwara,Rice_Production,431940.0
Lagos,Rice_Production,85850.0
Nasarawa,Rice_Production,417390.0
Niger,Rice_Production,629800.0
Ogun,Rice_Production,93580.0
Ondo,Rice_Production,120180.0
Osun,Rice_Production,115830.0
Oyo,Rice_Production,108600.0
Plateau,Rice_Production,250450.0
